Title;Issn;SJR
Obesity Reviews;1467789X, 14677881;3141
IEEE Transactions on Fuzzy Systems;10636706;3134
2D Materials;20531583;3133
Journal of Product Innovation Management;15405885, 07376782;3128
Cladistics;10960031, 07483007;3122
ISPRS Journal of Photogrammetry and Remote Sensing;9242716;3122
Neuropsychopharmacology;0893133X, 1470634X;3122
Matrix Biology;15691802, 0945053X;3121
Foundations and Trends in Finance;15672409, 15672395;3116
Mathematical Models and Methods in Applied Sciences;2182025;3114
Information Fusion;18726305, 15662535;3112
Briefings in Bioinformatics;14774054, 14675463;3109
Resuscitation;18731570, 03009572;3109
Molecular Metabolism;22128778;3107
Annual Review of Chemical and Biomolecular Engineering;19475438, 19475446;3106
Science Signaling;19450877, 19379145;3101
Scientific data;20524463;3099
Stroke;15244628, 00392499;3097
Trends in Biotechnology;01677799, 18793096;3096
Journal of Memory and Language;10960821, 0749596X;3093
Developmental Review;02732297, 10902406;3083
JACC: Cardiovascular Interventions;18767605, 19368798;3083
Communication Methods and Measures;19312466, 19312458;3082
Mathematical Programming, Series B;14364646, 00255610;3082
Quarterly Journal of Political Science;15540634, 15540626;3079
Annals of Mathematics Studies;662313;3076
Molecular Aspects of Medicine;00982997, 18729452;3070
Biomaterials;01429612, 18785905;3069
Tourism Management;2615177;3068
Cancer;0008543X, 10970142;3065
npj Genomic Medicine;20567944;3063
Allergy: European Journal of Allergy and Clinical Immunology;01054538, 13989995;3061
Journal of World Business;10909516;3061
International Reviews in Physical Chemistry;0144235X, 1366591X;3055
Philosophical Transactions of the Royal Society B: Biological Sciences;09628436, 14712970;3051
Computers and Education;3601315;3047
Journal of Business and Economic Statistics;07350015, 15372707;3040
Gondwana Research;1342937X;3033
Journal of Conflict Resolution;220027;3031
Eurosurveillance;15607917, 1025496X;3014
Journal of Travel Research;15526763, 00472875;3014
Journal of Research in Science Teaching;10982736, 00224308;3012
Current Opinion in Chemical Biology;13675931, 18790402;3011
Journal of Positive Behavior Interventions;10983007, 15384772;3005
Neurology;00283878, 1526632X;3005
Journal of Peasant Studies;03066150, 17439361;3004
Fish and Fisheries;14672960, 14672979;3001
33rd International Conference on Machine Learning, ICML 2016;-;2997
Critical Care Medicine;00903493, 15300293;2994
Journal of Health Economics;18791646, 01676296;2991
Space Science Reviews;15729672, 00386308;2991
American Journal of Transplantation;16006135, 16006143;2988
Strategic Organization;1741315X, 14761270;2987
Radiology;00338419, 15271315;2986
Forum of Mathematics, Pi;20505086;2980
Journal of Physical Chemistry Letters;19487185;2976
ACS Photonics;23304022;2974
Cellular and Molecular Gastroenterology and Hepatology;2352345X;2973
International Journal of Plasticity;7496419;2973
Cellular and Molecular Life Sciences;1420682X, 14209071;2970
Molecular Ecology Resources;1755098X, 17550998;2969
Social Psychological and Personality Science;19485514, 19485506;2968
Organization Studies;17413044, 01708406;2967
Cell Discovery;20565968;2966
New Media and Society;14614448, 14617315;2964
Movement Disorders;08853185, 15318257;2954
Journal of Infectious Diseases;00221899, 15376613;2946
Clinical Journal of the American Society of Nephrology;1555905X, 15559041;2944
Clinical Microbiology and Infection;1198743X, 14690691;2942
Earth and Planetary Science Letters;0012821X;2942
Journal of Economic Theory;10957235, 00220531;2940
Molecular Ecology;1365294X, 09621083;2935
IEEE Transactions on Systems, Man, and Cybernetics: Systems;21682216, 21682232;2934
Journal of Cardiovascular Magnetic Resonance;1532429X, 10976647;2934
Child Development Perspectives;17508606, 17508592;2932
Quarterly Reviews of Biophysics;00335835, 14698994;2932
Water Research;00431354, 18792448;2932
Haematologica;15928721, 03906078;2931
Econometrics Journal;13684221;2926
Human Communication Research;03603989, 14682958;2926
International Affairs;14682346, 00205850;2925
Blood Cancer Journal;20445385;2924
Energy Conversion and Management;1968904;2924
Global Biogeochemical Cycles;08866236, 19449224;2922
Implementation Science;17485908;2921
Seminars in Immunopathology;18632297, 18632300;2920
Journal for Research in Mathematics Education;218251;2916
IEEE Journal of Solid-State Circuits;1558173X, 00189200;2913
International Journal of Research in Marketing;1678116;2913
BioEssays;02659247, 15211878;2912
IEEE Transactions on Industrial Electronics;2780046;2911
PLoS Computational Biology;15537358, 1553734X;2910
Biological Psychiatry: Cognitive Neuroscience and Neuroimaging;24519022;2904
Hypertension;0194911X, 15244563;2904
Psychological Medicine;14698978, 00332917;2903
American Heart Journal;10976744, 00028703;2902
Bone Research;20954700, 20956231;2900
Transportation Research Part B: Methodological;1912615;2895
IEEE Transactions on Image Processing;10577149;2893
Genetics;19432631, 00166731;2891
Human Molecular Genetics;14602083, 09646906;2890
Metabolic Engineering;10967176, 10967184;2885
Heart Rhythm;15475271, 15563871;2883
International Journal of Information Management;2684012;2881
Child Development;14678624, 00093920;2880
British Journal of Psychiatry;00071250, 14721465;2873
Public Administration Review;00333352, 15406210;2867
2016 12th Annual Conference on Wireless On-Demand Network Systems and Services, WONS 2016 - Conference Proceedings;-;2866
Journal of Management Information Systems;1557928X, 07421222;2863
World Politics;00438871, 10863338;2861
Journal of Crohn's and Colitis;18739946;2859
Cancer Epidemiology Biomarkers and Prevention;10559965, 15387755;2857
Ultrasound in Obstetrics and Gynecology;09607692, 14690705;2855
Physics of Life Reviews;18731457, 15710645;2854
Comprehensive Physiology;20404603;2852
Acta neuropathologica communications;20515960;2845
Bayesian Analysis;19316690, 19360975;2843
Production and Operations Management;10591478, 19375956;2843
Economica;00130427, 14680335;2842
Trends in Food Science and Technology;9242244;2841
Public Opinion Quarterly;0033362X, 15375331;2836
Clinical and Translational Immunology;20500068;2833
EcoSal Plus;23246200;2827
Protein & Cell;16748018, 1674800X;2827
Biochimica et Biophysica Acta - Reviews on Cancer;0304419X;2824
Applied and Computational Mathematics;16833511;2822
Current Opinion in Biotechnology;18790429, 09581669;2819
IEEE Transactions on Power Electronics;8858993;2817
IEEE Transactions on Robotics;15523098;2815
Neurobiology of Stress;23522895;2815
Cancer and Metastasis Reviews;01677659, 15737233;2810
Circulation. Cardiovascular imaging;19420080, 19419651;2807
International Security;15314804, 01622889;2801
Biometrika;14643510, 00063444;2800
Transportation Science;15265447, 00411655;2800
Technovation;1664972;2795
Educational Administration Quarterly;0013161X, 15523519;2791
Biotechnology Advances;18731899, 07349750;2786
Computer Methods in Applied Mechanics and Engineering;00457825, 03742830;2786
Structure;09692126, 18784186;2786
Journal of Metamorphic Geology;15251314, 02634929;2784
Organizational Psychology Review;20413866, 20413874;2784
Environmental Innovation and Societal Transitions;22104224;2782
Cognitive Psychology;10955623, 00100285;2780
SIAM Journal on Numerical Analysis;00361429, 10957170;2780
Seminars in Cell and Developmental Biology;10963634, 10849521;2777
American Journal of Kidney Diseases;15236838, 02726386;2773
California Management Review;21628564, 00081256;2773
IEEE Network;8908044;2773
International Journal of Computer-Supported Collaborative Learning;15561607, 15561615;2772
npj Aging and Mechanisms of Disease;20563973;2772
Pediatrics;00314005, 10984275;2772
Exceptional Children;144029;2765
Advances in Materials Research;14351889;2763
Comprehensive Reviews in Food Science and Food Safety;15414337;2760
Translational Psychiatry;21583188;2760
Progress in Surface Science;796816;2759
Geology;00917613, 19432682;2754
Advanced Optical Materials;21951071;2750
Wiley Interdisciplinary Reviews: Developmental Biology;17597684, 17597692;2750
International Journal of Physical Distribution and Logistics Management;9600035;2749
Addiction;13600443, 09652140;2745
Journal of Advances in Modeling Earth Systems;19422466;2741
Plant, Cell and Environment;01407791, 13653040;2739
Circulation: Cardiovascular Interventions;19417632, 19417640;2737
American Journal of Surgical Pathology;15320979, 01475185;2734
Journal of Amino Acids;20900104, 20900112;2733
GLIA;08941491, 10981136;2730
JAMA Ophthalmology;21686173, 21686165;2729
Journal of Pathology;10969896, 00223417;2724
Analysis and PDE;1948206X, 21575045;2723
Organizational Behavior and Human Decision Processes;07495978, 10959920;2722
Annual Review of Animal Biosciences;21658110, 21658102;2721
Arteriosclerosis, Thrombosis, and Vascular Biology;10795642, 15244636;2721
Journal of Experimental Psychology: General;00963445, 19392222;2721
Emerging Infectious Diseases;10806040, 10806059;2720
SIAM Journal on Optimization;10526234, 10957189;2720
Current Opinion in Solid State and Materials Science;13590286;2716
Journal of Ecology;00220477, 13652745;2715
Clinical Psychology: Science and Practice;14682850, 09695893;2710
NursingPlus Open;23529008;2707
npj Biofilms and Microbiomes;20555008;2705
American Journal of Clinical Nutrition;19383207, 00029165;2704
Environmental Science & Technology;0013936X, 15205851;2704
Journal of Clinical Epidemiology;08954356, 18785921;2702
Journal of Strategic Information Systems;9638687;2698
Journal of Carcinogenesis;09746773, 14773163;2689
Journal of Internal Medicine;09546820, 13652796;2687
Digital Journalism;2167082X, 21670811;2686
Cardiovascular Research;17553245, 00086363;2684
Journal of Applied Ecology;00218901, 13652664;2681
Biosensors and Bioelectronics;18734235, 09565663;2680
Earth's Future;23284277;2680
Cement and Concrete Composites;9589465;2675
Environmental Research Letters;17489326;2675
Calculus of Variations and Partial Differential Equations;14320835, 09442669;2672
Ecosystem Services;22120416;2672
European Journal of Personality;08902070, 10990984;2670
Socio-Economic Review;14751461;2670
Journal of the International AIDS Society;17582652;2667
European Sociological Review;02667215, 14682672;2664
Behavior Research Methods;15543528, 1554351X;2663
Advances in Anatomy Embryology and Cell Biology;3015556;2660
International Journal of Project Management;2637863;2659
Journal für die Reine und Angewandte Mathematik;00754102, 14355345;2659
Environmental Health Perspectives;15529924, 00916765;2654
Journal of Quantitative Criminology;07484518, 15737799;2651
La Rivista del Nuovo Cimento;0393697X;2651
Journal of Experimental Botany;14602431, 00220957;2647
Learning and Instruction;9594752;2647
International Journal of Urban and Regional Research;03091317, 14682427;2645
Psychometrika;00333123, 18600980;2644
Advances in Parasitology;0065308X, 21636079;2641
Conservation Biology;15231739, 08888892;2641
Molecular Biology of the Cell;10591524, 19394586;2640
GigaScience;2047217X;2639
Human Genetics;03406717, 14321203;2637
International Journal of Behavioral Nutrition and Physical Activity;14795868;2637
Soil Biology and Biochemistry;380717;2630
Proceedings of the Royal Society B: Biological Sciences;9628452;2626
IEEE Transactions on Wireless Communications;15361276;2623
Nanophotonics;21928614, 21928606;2618
EBioMedicine;23523964;2617
Annual Review of Analytical Chemistry;19361335, 19361327;2616
IEEE Transactions on Geoscience and Remote Sensing;15580644, 01962892;2616
NPG Asia Materials;18844057, 18844049;2613
Oncologist;1549490X, 10837159;2613
Political Psychology;0162895X, 14679221;2610
Family Business Review;17416248, 08944865;2608
IEEE Internet of Things Journal;23274662;2607
Trends in Parasitology;14715007, 14714922;2606
Atmospheric Chemistry and Physics;16807324, 16807316;2601
Journal des Mathematiques Pures et Appliquees;217824;2601
Journal of Clinical Microbiology;1098660X, 00951137;2601
Brain Stimulation;1935861X, 18764754;2599
Language Teaching Research;13621688, 14770954;2596
Journal of Personality;00223506, 14676494;2593
Journal of Research on Educational Effectiveness;19345739, 19345747;2591
Alzheimer's and Dementia: Diagnosis, Assessment and Disease Monitoring;23528729;2588
IEEE Journal of Emerging and Selected Topics in Power Electronics;21686785, 21686777;2585
JCO Precision Oncology;24734284;2585
Molecular Autism;20402392;2585
Chest;00123692, 19313543;2583
Brain, Behavior, and Immunity;10902139, 08891591;2582
Psychonomic Bulletin and Review;10699384, 15315320;2581
Information Communication and Society;1369118X;2579
Omega;3050483;2579
Geochemical Perspectives Letters;2410339X, 24103403;2573
Frontiers in Cell and Developmental Biology;2296634X;2572
American Journal of Gastroenterology;15720241, 00029270;2571
Cellular and Molecular Immunology;20420226, 16727681;2569
Journal of the Learning Sciences;10508406, 15327809;2569
ACS Applied Materials & Interfaces;19448252, 19448244;2568
Investigative Radiology;00209996, 15360210;2564
Pain;18726623, 03043959;2563
Proceedings of the Annual ACM Symposium on Theory of Computing;7378017;2562
Dialogues in Clinical Neuroscience;19585969, 12948322;2554
European Union Politics;17412757, 14651165;2551
Work and Occupations;07308884, 15528464;2547
CIRP Annals - Manufacturing Technology;00078506, 17260604;2544
Depression and Anxiety;10914269, 15206394;2544
Essays in Biochemistry;00711365, 17441358;2544
BioScience;15253244, 00063568;2543
European Heart Journal Cardiovascular Imaging;20472412, 20472404;2543
International Economic Review;14682354, 00206598;2539
Gastric Cancer;14363291, 14363305;2537
Neuroscientist;10738584, 10894098;2537
Journal of Consulting and Clinical Psychology;0022006X;2535
Journal of Counseling Psychology;220167;2533
